#,Date,Immigration program,Invitations issued,CRS score of lowest-ranked candidate invited,Date (hidden),Programs covered
136,"February 05, 2020",No program specified,3500,472,05-02-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
135,"January 22, 2020",No program specified,3400,471,22-01-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
134,"January 08, 2020",No program specified,3400,473,08-01-2020,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
133,"December 19, 2019",No program specified,3200,469,19-12-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
132,"December 11, 2019",No program specified,3200,472,11-12-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
131,"November 27, 2019",No program specified,3600,471,27-11-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
130,"November 13, 2019",No program specified,3600,472,13-11-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
129,"October 30, 2019",No program specified,3900,475,"October 30, 2019","Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
128,"October 16, 2019",Federal Skilled Trades,500,357,"October 16, 2019",Federal Skilled Trades
127,"October 02, 2019",No program specified,3900,464,02-10-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
126,"September 18, 2019",No program specified,3600,462,18-09-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
125,"September 04, 2019",No program specified,3600,463,04-09-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
124,"August 20, 2019",No program specified,3600,457,20-08-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
123,"August 12, 2019",No program specified,3600,466,12-08-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
122,"July 24, 2019",No program specified,3600,459,24-07-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
121,"July 10, 2019",No program specified,3600,460,10-07-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
120,"June 26, 2019",No program specified,3350,462,26-06-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
119,"June 12, 2019",No program specified,3350,465,12-06-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
118,"May 29, 2019",No program specified,3350,470,29-05-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
117,"May 15, 2019",Federal Skilled Trades,500,332,15-05-2019,Federal Skilled Trades
116,"May 01, 2019",No program specified,3350,450,01-05-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
115,"April 17, 2019",No program specified,3350,451,17-04-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
114,"April 03, 2019",No program specified,3350,451,03-04-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
113,"March 20, 2019",No program specified,3350,452,20-03-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
112,"March 06, 2019",No program specified,3350,454,06-03-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
111,"February 20, 2019",No program specified,3350,457,20-02-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
110,"January 30, 2019",No program specified,3350,438,30-01-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
109,"January 23, 2019",No program specified,3900,443,23-01-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
108,"January 09, 2019",No program specified,3900,449,09-01-2019,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
107,"December 19, 2018",No program specified,3900,439,19-12-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
106,"December 12, 2018",No program specified,3900,445,12-12-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
105,"November 28, 2018",No program specified,3900,445,28-11-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
104,"November 14, 2018",No program specified,3900,449,14-11-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
103,"October 29, 2018",No program specified,3900,442,29-10-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
102,"October 15, 2018",No program specified,3900,440,15-10-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
101,"October 03, 2018",No program specified,3900,445,03-10-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
100,"September 24, 2018",Federal Skilled Trades,400,284,24-09-2018,Federal Skilled Trades
99,"September 19, 2018",No program specified,3500,441,19-09-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
98,"September 05, 2018",No program specified,3900,440,05-09-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
97,"August 22, 2018",No program specified,3750,440,22-08-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
96,"August 08, 2018",No program specified,3750,440,08-08-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
95,"July 25, 2018",No program specified,3750,441,25-07-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
94,"July 11, 2018",No program specified,3750,442,11-07-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
93,"June 25, 2018",No program specified,3750,442,25-06-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
92,"June 13, 2018",No program specified,3750,451,13-06-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
91,"May 30, 2018",Federal Skilled Trades,500,288,30-05-2018,Federal Skilled Trades
91,"May 30, 2018",Provincial Nominee Program,200,902,30-05-2018,Provincial Nominee Program
90,"May 23, 2018",No program specified,3500,440,23-05-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
89,"May 09, 2018",No program specified,3500,441,09-05-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
88,"April 25, 2018",No program specified,3500,441,25-04-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
87,"April 11, 2018",No program specified,3500,444,11-04-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
86,"March 26, 2018",No program specified,3000,446,26-03-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
85,"March 14, 2018",No program specified,3000,456,14-03-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
84,"February 21, 2018",No program specified,3000,442,21-02-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
83,"February 07, 2018",No program specified,3000,442,07-02-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
82,"January 24, 2018",No program specified,2750,444,24-01-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
81,"January 10, 2018",No program specified,2750,446,10-01-2018,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
80,"December 20, 2017",No program specified,2750,446,20-12-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
79,"December 06, 2017",No program specified,2750,452,06-12-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
78,"November 15, 2017",No program specified,2750,439,15-11-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
77,"November 08, 2017",No program specified,2000,458,08-11-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
76,"November 01, 2017",Federal Skilled Trades,505,241,01-11-2017,Federal Skilled Trades
75,"November 01, 2017",Provincial Nominee Program,290,673,01-11-2017,Provincial Nominee Program
74,"October 18, 2017",No program specified,2757,436,18-10-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
73,"October 04, 2017",No program specified,2801,438,04-10-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
72,"September 20, 2017",No program specified,2871,433,20-09-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
71,"September 06, 2017",No program specified,2772,435,06-09-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
70,"August 23, 2017",No program specified,3035,434,23-08-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
69,"August 09, 2017",No program specified,2991,433,09-08-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
68,"August 02, 2017",No program specified,3264,441,02-08-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
67,"July 12, 2017",No program specified,3202,440,12-07-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
66,"June 28, 2017",No program specified,3409,449,28-06-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
65,"May 31, 2017",No program specified,3877,413,31-05-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
64,"May 26, 2017",Federal Skilled Trades,400,199,26-05-2017,Federal Skilled Trades
63,"May 26, 2017",Provincial Nominee Program,143,775,26-05-2017,Provincial Nominee Program
62,"May 17, 2017",No program specified,3687,415,17-05-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
61,"May 04, 2017",No program specified,3796,423,04-05-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
60,"April 19, 2017",No program specified,3665,415,19-04-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
59,"April 12, 2017",No program specified,3923,423,12-04-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
58,"April 05, 2017",No program specified,3753,431,05-04-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
57,"March 24, 2017",No program specified,3749,441,24-03-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
56,"March 01, 2017",No program specified,3884,434,01-03-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
55,"February 22, 2017",No program specified,3611,441,22-02-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
54,"February 08, 2017",No program specified,3644,447,08-02-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
53,"January 25, 2017",No program specified,3508,453,25-01-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
52,"January 11, 2017",No program specified,3334,459,11-01-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
51,"January 04, 2017",No program specified,2902,468,04-01-2017,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
50,"December 22, 2016",No program specified,2878,475,22-12-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
49,"December 16, 2016",No program specified,1936,497,16-12-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
48,"November 30, 2016",Provincial Nominee Program,559,786,30-11-2016,Provincial Nominee Program
47,"November 16, 2016",No program specified,2427,470,16-11-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
46,"November 02, 2016",No program specified,2080,472,02-11-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
45,"October 19, 2016",No program specified,1804,475,19-10-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
44,"October 12, 2016",No program specified,1518,484,12-10-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
43,"September 21, 2016",No program specified,1288,483,21-09-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
42,"September 07, 2016",No program specified,1000,491,07-09-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
41,"August 24, 2016",No program specified,750,538,24-08-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
40,"August 10, 2016",No program specified,754,490,10-08-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
39,"July 27, 2016",No program specified,755,488,27-07-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
38,"July 13, 2016",No program specified,747,482,13-07-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
37,"June 29, 2016",No program specified,773,482,29-06-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
36,"June 15, 2016",No program specified,752,488,15-06-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
35,"June 01, 2016",No program specified,762,483,01-06-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
34,"May 18, 2016",No program specified,763,484,18-05-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
33,"May 06, 2016",No program specified,799,534,06-05-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
32,"April 20, 2016",No program specified,1018,468,20-04-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
31,"April 06, 2016",No program specified,954,470,06-04-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
30,"March 23, 2016",No program specified,1014,470,23-03-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
29,"March 09, 2016",No program specified,1013,473,09-03-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
28,"February 24, 2016",No program specified,1484,453,24-02-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
27,"February 10, 2016",No program specified,1505,459,10-02-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
26,"January 27, 2016",No program specified,1468,457,27-01-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
25,"January 13, 2016",No program specified,1518,453,13-01-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
24,"January 06, 2016",No program specified,1463,461,06-01-2016,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
23,"December 18, 2015",No program specified,1503,460,18-12-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
22,"December 04, 2015",No program specified,1451,461,04-12-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
21,"November 27, 2015",No program specified,1559,472,27-11-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
20,"November 13, 2015",No program specified,1506,484,13-11-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
19,"October 23, 2015",No program specified,1502,489,23-10-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
18,"October 02, 2015",No program specified,1530,450,02-10-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
17,"September 18, 2015",No program specified,1545,450,18-09-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
16,"September 08, 2015",No program specified,1517,459,08-09-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
15,"August 21, 2015",No program specified,1523,456,21-08-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
14,"August 07, 2015",No program specified,1402,471,07-08-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
13,"July 17, 2015",No program specified,1581,451,17-07-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
12,"July 10, 2015",No program specified,1516,463,10-07-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
11,"June 26, 2015",No program specified,1575,469,26-06-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
10,"June 12, 2015",No program specified,1501,482,12-06-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
9,"May 22, 2015",No program specified,1361,755,22-05-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
8,"April 17, 2015",No program specified,715,453,17-04-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
7,"April 10, 2015",No program specified,925,469,10-04-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
6,"March 27, 2015",No program specified,1637,453,27-03-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
5,"March 20, 2015",No program specified,1620,481,20-03-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
4,"February 27, 2015",No program specified,1187,735,27-02-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
3,"February 20, 2015",Canadian Experience Class,849,808,20-02-2015,Canadian Experience Class
2,"February 07, 2015",No program specified,779,818,07-02-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
1,"January 31, 2015",No program specified,779,886,31-01-2015,"Canadian Experience Class
Federal Skilled Worker Program
Federal Skilled Worker Program
Provincial Nominee Program"
